,会社名,仕事内容,勤務地,給与
15,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】,【社宅無料の案件多数】工場内や物流センターで簡単な機械操作・チェック⇒ボタンを押すだけ！その他、完成品のピッキング・仕分け等 ★年休最大170日,転勤なし／全国40都道府県に配属 ☆社員寮あり(社宅費無料あり※一部住宅手当で支給・規定あり) <…,300万円～500万円
16,イッセイコンサルタント株式会社 | 【 10年連続売上UP 】平均年収600～700万｜転勤なし｜定時退社可,【 書類作成などの内勤メイン 】東海エリアで公共事業を進める、国交省の出張所で工事管理のサポート業務を行います。＜土日祝休┃定時帰りの日多数＞,【 岐阜県・愛知県・三重県の出張所への直行直帰 】 ※転勤なし ※社用車貸与 ＼＼ 地域密着で活躍…,350万円～850万円
17,株式会社山王 | 今こそ転職は”将来性”で選ぼう！★福岡の安定企業で活躍★,【 営業なのに！販売や提案は無し 】あなたの仕事は商品説明だけ！　★ご紹介する商材は、省エネプランやエコ商品、電気自動車、リノベーションなど,本社（福岡市中央区）または福岡市早良区、福岡市博多区 ★転勤なし ★マイカー通勤OK（福岡西営業所…,500万円～2000万円
18,HITOWAライフパートナー株式会社 | おそうじ本舗のFCオーナー／充実した研修アリ／自宅開業可能！,◆個人宅のハウスクリーニングが中心。技術や営業ノウハウが学べる研修からスタートし、経営が軌道に乗るよう集客面でもバックアップします！,全国47都道府県の開業希望エリア ※開業をご希望されるエリアにより異なります ※開業エリアの希望を…,"【収入例（あくまでも個人開業の場合の一例です）】 売上：976,000円−（原価：49,000円＋販管費：307,70…"
19,株式会社ワールドコーポレーション | 安定基盤・難しい仕事はありません！,【新たなスタートダッシュを！】プロジェクト先にて点検・保守業務や管理業務全般を担当 ★土日休み・オフも充実♪年収600万円も可能,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…,350万円～500万円
20,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,【こんなにも早く転職できるなんて！という声が多数！】各プロジェクト先にて、資材管理業務全般をお任せ★土日休み・年収600万円以上も可能,★希望勤務地を考慮 ★Ｕ・Ｉターン歓迎 ★全国47都道府県のプロジェクト先(首都圏・東北・関西・中…,350万円～500万円
21,株式会社アール・エム | 【大阪府緊急雇用対策に賛同】履歴書不要！35歳以下なら全員面接,【最短11ヶ月での課長昇進・新卒入社3年目での課長昇進(2名)実績あり！】◎WEBの企画・提案を通じて、企業のビジネス課題を解決に導いてください。,《希望以外の転勤なし／UIターン歓迎》 大阪・東京・福岡の各拠点のいずれかに配属します。 【大阪本…,400万円～700万円
22,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK,【一人暮らしデビューが叶う！社宅全額補助や高収入の案件あり】ものづくり工場にて、資材発注確認、納品チェック等の業務を担当★12月・1月入社歓迎,【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆社員寮あり(社宅費無料あり※一部住宅…,300万円～500万円
23,株式会社ビッグモーター | 業界No.1の安定性／全国募集／転勤なし／面接1回／基本土日休み,【移動範囲は1～2時間の短距離中心！】配送ドライバーとして、ビッグモーターで修理・整備するクルマの引き取り／納車などをお任せします。,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,300万円～700万円
24,株式会社ビッグモーター | 業界No.1の実績＆安定性／面接1回／月8～10日休み／転勤なし,【100％内勤です♪】クルマのキズや凹みの修理に関する受付やデータ入力、電話対応などをお任せ！※クルマの知識は働きながら得られるので安心♪,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,300万円～550万円
